,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,grindavik,63.8424,-22.4338,33.8,75,40,16.11,IS,1612592327
366,road town,18.4167,-64.6167,77.0,82,4,17.0,VG,1612592327
367,aripuana,-9.1667,-60.6333,73.31,94,100,1.7,BR,1612592327
368,abu dhabi,24.4667,54.3667,71.6,60,0,12.66,AE,1612592120
369,sakaiminato,35.55,133.2333,59.0,51,20,20.71,JP,1612592328
370,balykshi,47.0667,51.8667,30.2,74,75,26.84,KZ,1612592328
371,rapid valley,44.0625,-103.1463,14.0,85,90,13.8,US,1612592328
372,lata,40.1629,-8.3327,51.01,89,100,3.0,PT,1612592224
373,makokou,0.5738,12.8642,70.68,94,10,2.04,GA,1612592329
374,cruz,-2.9178,-40.1717,75.6,87,20,9.73,BR,1612592329
375,craig,40.5153,-107.5464,28.4,69,90,20.71,US,1612592329
376,chara,56.9064,118.2631,-3.19,79,90,1.5,RU,1612592329
377,pacific grove,36.6177,-121.9166,48.99,81,1,3.44,US,1612592060
378,nanortalik,60.1432,-45.2371,19.92,71,0,3.87,GL,1612592330
379,sidi ali,36.0998,0.4206,51.91,90,0,5.39,DZ,1612592330
380,bandarbeyla,9.4942,50.8122,76.77,65,0,7.9,SO,1612592331
381,manjacaze,-24.7117,33.8828,80.31,80,98,8.19,MZ,1612592331
382,bam,29.106,58.357,70.34,18,6,0.36,IR,1612592266
383,khorixas,-20.3667,14.9667,76.95,45,52,2.26,NA,1612592331
384,bubaque,11.2833,-15.8333,76.5,51,98,20.02,GW,1612592331
385,gazli,40.1333,63.45,56.79,36,82,17.85,UZ,1612592331
386,baie-comeau,49.2168,-68.1489,28.4,86,90,6.91,CA,1612592331
387,tamandare,-8.7597,-35.1047,76.53,84,19,5.19,BR,1612592332
388,lagoa,39.05,-27.9833,58.46,84,100,15.26,PT,1612592333
389,americus,32.0724,-84.2327,46.4,87,90,1.05,US,1612592333
390,lakes entrance,-37.8811,147.981,81.0,40,29,3.0,AU,1612592333
391,kita,13.0349,-9.4895,68.5,21,44,4.21,ML,1612592333
392,kadoma,34.7333,135.5833,59.0,47,20,5.75,JP,1612592333
393,ancud,-41.8697,-73.8203,62.01,74,0,0.76,CL,1612592333
394,puerto del rosario,28.5004,-13.8627,57.2,67,40,18.41,ES,1612592334
395,tripoli,32.8752,13.1875,63.37,40,9,7.67,LY,1612592218
396,goba,7.0167,39.9833,62.24,38,35,3.58,ET,1612592334
397,yashalta,46.3395,42.2762,29.84,83,0,15.12,RU,1612592334
398,rovenki,48.0833,39.3776,20.53,85,22,10.4,UA,1612592334
399,penzance,50.1186,-5.5371,39.99,93,20,6.91,GB,1612592335
400,iisalmi,63.5592,27.1907,6.8,85,90,4.61,FI,1612592335
401,mayor pablo lagerenza,-19.9309,-60.7718,67.6,61,29,3.18,PY,1612592336
402,marsa matruh,31.3525,27.2453,60.8,72,75,5.75,EG,1612592334
403,tongchuan,35.0806,109.0897,56.43,30,68,2.73,CN,1612592336
404,setermoen,68.861,18.3486,26.6,80,75,8.05,NO,1612592336
405,cross lanes,38.4204,-81.7907,35.6,55,1,5.75,US,1612592336
406,srikakulam,18.3,83.9,82.49,30,0,5.79,IN,1612592336
407,santarem,-2.4431,-54.7083,75.2,100,0,4.61,BR,1612592336
408,chiang khong,20.2613,100.4046,84.0,99,0,3.56,TH,1612592337
409,pedernales,18.0384,-71.744,75.97,66,1,3.36,DO,1612592208
410,auburndale,28.0653,-81.7887,59.0,88,1,5.35,US,1612592337
411,rolante,-29.6506,-50.5758,62.01,89,45,2.8,BR,1612592337
412,ejido,8.5514,-71.2375,68.9,66,100,0.96,VE,1612592338
413,villarrubia de los ojos,39.2209,-3.608,48.0,100,69,1.01,ES,1612592338
414,sheridan,44.8333,-106.9173,18.0,79,90,9.22,US,1612592338
415,sartana,47.1744,37.6927,25.93,86,53,7.74,UA,1612592338
416,varhaug,58.6147,5.6457,19.0,92,0,2.3,NO,1612592338
417,naze,28.3667,129.4833,71.6,64,75,8.05,JP,1612592339
418,vrbno pod pradedem,50.1209,17.3832,28.0,98,100,6.51,CZ,1612592339
419,singapore,1.2897,103.8501,87.8,55,75,16.11,SG,1612591749
420,husavik,66.0449,-17.3389,33.8,69,90,10.36,IS,1612592339
421,krasnoselkup,65.7,82.4667,-10.52,90,100,14.88,RU,1612592339
422,fortuna,40.5982,-124.1573,50.0,100,90,5.99,US,1612592339
423,bafut,6.0833,10.1,62.46,31,1,2.28,CM,1612592340
424,lebedinyy,58.5167,125.5167,-14.62,84,100,2.93,RU,1612592340
425,neiafu,-18.65,-173.9833,80.6,89,75,6.91,TO,1612592340
426,menongue,-14.6585,17.691,66.2,90,99,3.24,AO,1612592340
427,tocopilla,-22.092,-70.1979,66.16,65,11,2.73,CL,1612592340
428,korhogo,9.45,-5.6333,71.91,50,49,4.05,CI,1612592168
429,acarau,-2.8856,-40.12,77.61,82,39,11.36,BR,1612592323
430,hastings,50.8552,0.5729,44.01,92,8,2.75,GB,1612592341
431,lloret de mar,41.6999,2.8457,55.99,87,90,8.05,ES,1612592341
432,college,64.8569,-147.8028,-11.2,70,75,3.44,US,1612592341
433,sinjai,-5.1241,120.253,86.95,65,100,8.5,ID,1612592342
434,mayskiy,47.6931,40.1025,21.2,73,40,11.18,RU,1612592342
435,ust-maya,60.4167,134.5333,-22.59,83,100,2.08,RU,1612592342
436,nouadhibou,20.931,-17.0347,62.71,74,0,18.25,MR,1612592342
437,vestmanna,62.1564,-7.1664,33.8,69,20,14.97,FO,1612592342
438,halifax,44.6453,-63.5724,39.99,100,100,20.71,CA,1612592313
439,alytus,54.4,24.05,-0.4,78,89,4.68,LT,1612592244
440,pyu,18.4833,96.4333,96.96,23,0,1.39,MM,1612592343
441,ulaanbaatar,47.9077,106.8832,8.6,61,0,6.71,MN,1612592343
442,jodhpur,26.2867,73.03,72.63,22,0,8.1,IN,1612592343
443,verkhnevilyuysk,63.4453,120.3167,-27.8,82,39,1.74,RU,1612592343
444,abalak,58.1286,68.5944,34.92,100,100,10.29,RU,1612592343
445,consolacion del sur,22.5047,-83.5136,68.95,96,11,5.55,CU,1612592344
446,tateyama,34.9833,139.8667,60.8,44,20,12.66,JP,1612592344
447,bombay,19.0144,72.8479,86.0,21,3,6.91,IN,1612592226
448,parnarama,-5.6817,-43.0933,72.7,94,92,2.55,BR,1612592344
449,henderson,36.0397,-114.9819,55.4,22,1,5.75,US,1612592177
450,alcudia,39.8532,3.1214,62.6,77,20,8.05,ES,1612592345
451,xining,36.6167,101.7667,36.55,45,99,4.05,CN,1612592345
452,shumskiy,54.8318,99.1328,17.89,89,98,3.42,RU,1612592345
453,mecca,21.4267,39.8261,65.95,54,4,1.83,SA,1612592269
454,bud,39.447,-86.1758,21.99,76,78,8.48,US,1612592256
455,kidal,18.4411,1.4078,66.4,24,100,13.15,ML,1612592346
456,necochea,-38.5473,-58.7368,71.01,57,0,3.0,AR,1612592346
457,bambous virieux,-20.3428,57.7575,82.4,78,40,9.22,MU,1612592346
458,komsomolskiy,40.4272,71.7189,46.4,49,100,2.08,UZ,1612592299
459,khambhaliya,22.2072,69.6683,80.6,21,0,13.8,IN,1612592347
460,iquitos,-3.7481,-73.2472,73.4,94,90,2.3,PE,1612592347
461,birao,10.2849,22.7882,64.47,29,49,16.15,CF,1612592347
462,pangai,-19.8,-174.35,80.6,94,75,13.4,TO,1612592348
463,kharan,28.5833,65.4167,65.3,20,0,2.51,PK,1612592348
464,khanu woralaksaburi,16.0617,99.8606,93.11,28,0,8.97,TH,1612592348
465,pingliang,35.5392,106.6861,37.99,42,100,8.01,CN,1612592349
466,ferkessedougou,9.6,-5.2,72.27,39,64,3.15,CI,1612592349
467,berlevag,70.8578,29.0864,26.53,90,100,20.0,NO,1612592349
468,anadyr,64.75,177.4833,0.0,85,40,11.18,RU,1612592349
469,xiaoweizhai,26.1903,107.5125,62.85,68,93,5.95,CN,1612592350
470,katsuura,35.1333,140.3,62.01,44,20,12.66,JP,1612592350
471,santa rosa,14.3122,121.1114,86.0,66,75,4.61,PH,1612592350
472,pahrump,36.2083,-115.9839,46.0,35,0,3.4,US,1612592305
473,nabire,-3.3667,135.4833,87.96,56,89,4.65,ID,1612592350
474,saint-pierre,-21.3393,55.4781,86.0,62,0,6.91,RE,1612592351
475,tavrichanka,43.3378,131.8639,26.6,50,92,11.18,RU,1612592351
476,stornoway,58.2093,-6.3865,37.4,75,75,18.41,GB,1612592351
477,benguela,-12.5763,13.4055,76.23,75,60,1.79,AO,1612592351
478,aktash,50.3,87.7333,16.77,94,96,3.58,RU,1612592352
479,springbok,-29.6643,17.8865,73.4,23,0,3.44,ZA,1612592352
480,praia,14.9215,-23.5087,68.0,73,75,20.71,CV,1612592120
481,hualmay,-11.0964,-77.6139,69.53,82,94,6.44,PE,1612592352
482,dire,12.2833,-10.9667,65.68,27,13,0.89,ML,1612592352
483,mwense,-10.3845,28.698,67.95,93,100,3.06,ZM,1612592353
484,bac lieu,9.285,105.7244,85.6,57,68,15.59,VN,1612592353
485,shar,49.5886,81.0453,28.2,95,100,14.38,KZ,1612592353
486,moussoro,13.6408,16.4901,59.59,32,8,13.91,TD,1612592353
487,mitsamiouli,-11.3847,43.2844,84.2,70,20,3.44,KM,1612592354
488,san policarpo,12.1791,125.5072,82.83,75,63,12.24,PH,1612592354
489,lewistown,40.5992,-77.5714,28.4,64,20,4.61,US,1612592354
490,fort morgan,40.2503,-103.8,35.6,48,90,4.74,US,1612592216
491,geraldton,-28.7667,114.6,80.6,57,90,29.93,AU,1612592354
492,luganville,-15.5333,167.1667,81.97,78,75,8.25,VU,1612592354
493,aquiraz,-3.9014,-38.3911,78.8,83,20,6.91,BR,1612592354
494,changji,44.0167,87.3167,15.8,92,90,2.24,CN,1612592355
495,erenhot,43.6475,111.9767,19.24,96,100,5.95,CN,1612592355
496,zaysan,47.4667,84.8667,25.7,94,100,2.46,KZ,1612592355
497,ampanihy,-24.7,44.75,85.35,61,84,5.53,MG,1612592355
498,trairi,-3.2778,-39.2689,79.02,77,53,8.95,BR,1612592355
499,payo,-3.7508,103.6372,87.04,61,90,5.68,ID,1612592356
500,mandera,3.9366,41.867,78.78,61,0,9.24,KE,1612592356
501,tekeli,44.83,78.8239,37.89,73,83,7.18,KZ,1612592356
502,simpang,-1.2667,104.0833,86.81,62,64,8.75,ID,1612592356
503,mayya,61.7333,130.2811,-34.6,67,100,2.24,RU,1612592356
504,montauban,44.0833,1.5,55.99,82,90,14.97,FR,1612592356
505,alta floresta,-9.8756,-56.0861,71.94,98,100,3.22,BR,1612592357
506,ketchikan,55.3422,-131.6461,33.8,100,90,3.44,US,1612592357
507,severo-yeniseyskiy,60.3725,93.0408,7.02,95,100,5.55,RU,1612592357
508,gizo,-8.103,156.8419,84.16,74,53,10.07,SB,1612592357
509,coari,-4.085,-63.1414,74.01,98,100,2.01,BR,1612592357
510,sur,22.5667,59.5289,73.83,36,0,6.6,OM,1612592357
511,weihe,32.9952,105.3247,51.6,45,0,4.99,CN,1612592358
512,martapura,-3.4167,114.85,89.6,66,20,9.22,ID,1612592358
513,arman,59.7,150.1667,1.44,86,94,9.69,RU,1612592275
514,buala,-8.145,159.5921,83.23,78,84,8.93,SB,1612592271
515,tacna,-18.0056,-70.2483,71.6,60,0,3.44,PE,1612592358
516,pierre,44.3683,-100.351,7.0,61,90,12.66,US,1612592358
517,inverell,-29.7833,151.1167,71.01,96,100,1.01,AU,1612592358
518,mangrol,21.1167,70.1167,78.37,29,0,13.22,IN,1612592229
519,dukat,62.55,155.55,-19.26,87,77,3.44,RU,1612592359
520,umm kaddadah,13.6017,26.6876,56.5,38,5,18.12,SD,1612592359
521,riacho de santana,-13.6092,-42.9389,70.14,90,100,2.8,BR,1612592359
522,dillon,34.4166,-79.3712,46.0,87,90,6.02,US,1612592359
523,bobo dioulasso,11.1771,-4.2979,68.0,45,0,1.14,BF,1612592359
524,ouesso,1.6136,16.0517,74.62,73,86,1.9,CG,1612592360
525,strezhevoy,60.7333,77.5889,23.0,93,90,13.42,RU,1612592360
526,huainan,32.6264,116.9969,64.13,35,64,9.28,CN,1612592360
527,hrodna,53.6884,23.8258,6.8,92,75,6.71,BY,1612592360
528,pangnirtung,66.1451,-65.7125,20.43,84,99,3.69,CA,1612592360
529,chimoio,-19.1164,33.4833,74.07,91,100,1.83,MZ,1612592360
530,ilhabela,-23.7781,-45.3581,72.77,80,56,3.36,BR,1612592360
531,tiznit,29.5833,-9.5,50.43,70,100,2.82,MA,1612592361
532,khasan,42.4308,130.6434,29.57,97,100,6.11,RU,1612592361
533,salihorsk,52.7876,27.5415,4.68,94,24,6.51,BY,1612592361
534,santa vitoria do palmar,-33.5189,-53.3681,57.58,93,4,6.67,BR,1612592361
535,celestun,20.8667,-90.4,73.08,77,0,9.93,MX,1612592361
536,olga,43.7444,135.2892,29.84,82,100,8.88,RU,1612592361
537,sabaudia,41.3003,13.0282,59.0,57,0,5.01,IT,1612592361
538,puerto escondido,15.85,-97.0667,78.8,78,40,5.75,MX,1612592362
539,ambovombe,-25.1667,46.0833,86.02,61,100,5.53,MG,1612592362
540,klaksvik,62.2266,-6.589,33.8,69,20,14.97,FO,1612592362
541,sobolevo,54.4299,31.8996,-4.05,92,82,8.1,RU,1612592317
542,karpathos,35.507,27.2132,57.2,88,20,5.75,GR,1612592362
543,visby,57.6409,18.296,17.6,73,40,8.05,SE,1612592362
544,verkhoyansk,67.5447,133.385,-26.05,82,100,2.1,RU,1612592362
545,jiuquan,39.7432,98.5174,37.38,55,93,2.39,CN,1612592362
546,arona,28.0996,-16.681,57.99,71,20,11.5,ES,1612592363
547,victoria,22.2855,114.1577,75.2,46,20,8.05,HK,1612592223
548,ternate,0.8,127.4,83.21,79,100,11.97,ID,1612592363
549,otradnoye,59.7775,30.8181,10.99,79,75,11.18,RU,1612592363
550,rudnyy,52.9594,63.1206,33.8,86,0,22.37,KZ,1612592363
551,manta,-0.95,-80.7333,77.0,83,75,6.08,EC,1612592363
552,hayden,47.766,-116.7866,34.0,80,1,8.05,US,1612592364
